Employee_ID,Employee_Name,Department,Revenue_Generated,Projects_Completed,Working_Hours,Customer_Rating,Salary
101.0,Aman,Sales,150000,12,180,4.5,45000
102.0,Simran,Marketing,120000,10,175,4.2,42000
103.0,Rahul,IT,200000,15,190,4.8,55000
104.0,Priya,Finance,170000,13,185,4.6,50000
105.0,Karan,Sales,140000,11,178,4.1,44000
106.0,Neha,Marketing,130000,12,180,4.4,43000
107.0,Arjun,IT,210000,16,192,4.9,57000
108.0,Mehak,Finance,165000,12,183,4.5,49000
109.0,Rohit,Sales,155000,13,181,4.3,46000
110.0,Anjali,IT,220000,17,195,5.0,58000
,Employee_11,Finance,98575,18,196,3.0,79804
,Employee_12,IT,163999,1,144,2.8,37319
,Employee_13,IT,191913,13,145,4.5,46664
,Employee_14,Marketing,151620,20,197,2.9,108770
,Employee_15,Marketing,232978,19,150,3.3,69847
,Employee_16,Sales,298685,12,195,2.5,114753
,Employee_17,Sales,160050,8,219,4.8,38269
,Employee_18,Sales,251861,11,204,3.3,53567
,Employee_19,Sales,105773,14,200,4.6,79263
,Employee_20,Finance,186817,15,133,4.9,31089
,Employee_21,IT,81178,23,173,4.3,65191
,Employee_22,Finance,172978,21,194,3.2,73470
,Employee_23,IT,83085,18,208,3.7,51402
,Employee_24,IT,273056,7,166,4.5,46444
,Employee_25,Finance,293265,15,141,4.2,113401
,Employee_26,IT,99099,7,152,4.6,117446
,Employee_27,IT,259966,12,163,3.9,75022
,Employee_28,IT,235852,2,193,4.1,110792
,Employee_29,IT,146173,7,135,3.4,73747
,Employee_30,Finance,253614,7,204,3.0,116459
,Employee_31,Marketing,291708,16,217,4.2,33892
,Employee_32,Finance,255823,2,152,2.5,84348
,Employee_33,IT,232356,7,209,4.5,33798
,Employee_34,Sales,150903,1,135,2.5,76364
,Employee_35,Marketing,213423,5,138,4.0,109519
,Employee_36,Finance,255260,14,219,4.0,104944
,Employee_37,IT,237216,7,178,2.8,49239
,Employee_38,Sales,129572,5,211,4.0,88711
,Employee_39,Finance,170642,18,169,4.4,45036
,Employee_40,IT,159707,2,148,3.8,52370
,Employee_41,Finance,232844,4,145,4.2,68423
,Employee_42,Sales,171838,23,201,4.3,114085
,Employee_43,Sales,172279,24,129,3.0,90403
,Employee_44,Finance,199110,4,128,4.8,69572
,Employee_45,Sales,207462,20,181,3.3,48499
,Employee_46,IT,104775,3,211,4.0,99620
,Employee_47,Sales,283488,12,143,2.8,83154
,Employee_48,Marketing,169528,24,197,5.0,75084
,Employee_49,Marketing,118602,12,188,4.1,88855
,Employee_50,Marketing,80066,17,139,3.7,46502
,Employee_51,Marketing,175656,22,189,3.9,112244
,Employee_52,Sales,243763,18,149,2.6,56633
,Employee_53,Sales,145186,1,171,3.1,73048
,Employee_54,Sales,267412,14,179,4.9,81696
,Employee_55,Sales,123915,3,137,2.7,45742
,Employee_56,IT,110564,2,155,2.9,42870
,Employee_57,IT,166041,20,190,3.9,72736
,Employee_58,IT,234832,21,193,4.4,31236
,Employee_59,Marketing,145905,21,139,4.6,84391
,Employee_60,IT,260642,11,179,4.7,69050
,Employee_61,Finance,84594,11,131,4.4,51513
,Employee_62,Marketing,296002,10,140,3.4,98597
,Employee_63,Marketing,90368,21,213,4.0,59360
,Employee_64,Finance,265633,4,181,4.5,85274
,Employee_65,Finance,80777,22,212,2.8,48864
,Employee_66,Finance,173303,3,121,2.7,59173
,Employee_67,Marketing,148079,8,132,3.6,86381
,Employee_68,IT,295531,13,131,3.3,94551
,Employee_69,Finance,224075,1,153,2.5,87631
,Employee_70,IT,294276,14,136,3.8,73606
,Employee_71,Finance,171203,1,164,3.4,52653
,Employee_72,IT,190808,13,155,4.7,119955
,Employee_73,IT,190500,5,187,3.3,112005
,Employee_74,Marketing,245758,15,121,4.2,99842
,Employee_75,Finance,192013,13,163,3.9,56239
,Employee_76,Sales,281044,22,212,3.2,104756
,Employee_77,IT,122229,13,205,3.7,82076
,Employee_78,IT,184752,13,143,3.4,53359
,Employee_79,Finance,134285,9,139,3.1,100307
,Employee_80,IT,270032,10,147,2.7,43706
,Employee_81,Marketing,110219,16,209,2.6,82156
,Employee_82,Marketing,234345,7,157,3.1,47937
,Employee_83,Marketing,280608,6,133,2.7,36643
,Employee_84,Marketing,144663,8,214,2.9,68903
,Employee_85,IT,141419,14,199,2.8,70226
,Employee_86,Finance,248883,14,155,3.4,76093
,Employee_87,Sales,210088,11,182,3.1,30525
,Employee_88,Finance,205550,20,163,2.5,47514
,Employee_89,IT,274513,4,121,2.6,37395
,Employee_90,Marketing,100645,11,149,5.0,100195
,Employee_91,IT,140075,17,162,3.1,34457
,Employee_92,IT,166103,1,217,2.6,108158
,Employee_93,Marketing,281844,5,171,4.1,49186
,Employee_94,Marketing,96223,5,156,3.9,58440
,Employee_95,IT,179578,21,134,3.5,60309
,Employee_96,IT,184756,3,128,4.3,75725
,Employee_97,IT,83192,15,180,4.8,62876
,Employee_98,Marketing,174278,9,185,3.5,83493
,Employee_99,Finance,222722,14,182,3.4,64053
,Employee_100,Marketing,173222,17,191,3.8,95014
,Employee_101,Marketing,147244,20,134,3.1,119059
,Employee_102,Finance,208986,15,157,2.9,43272
,Employee_103,Marketing,295794,16,171,3.5,40742
,Employee_104,Sales,106991,16,141,4.2,55278
,Employee_105,IT,142965,6,187,2.5,48265
,Employee_106,IT,285429,11,160,2.8,95763
,Employee_107,Sales,145210,23,206,4.5,95284
,Employee_108,Sales,230491,3,163,3.3,81137
,Employee_109,Marketing,157310,4,146,3.9,119374
,Employee_110,Finance,261231,8,219,2.6,110995
,Employee_111,Marketing,208776,13,218,3.9,118360
,Employee_112,Finance,277296,13,205,2.6,70307
,Employee_113,Marketing,220253,17,170,3.0,79850
,Employee_114,Sales,208330,12,182,3.6,66595
,Employee_115,Finance,187484,7,140,3.8,55409
,Employee_116,Finance,88848,6,139,2.8,57585
,Employee_117,Sales,106548,16,200,3.6,96916
,Employee_118,Sales,236527,20,188,4.5,50823
,Employee_119,IT,220708,24,169,4.3,43192
,Employee_120,Marketing,205185,11,195,3.4,88568
,Employee_121,IT,105711,19,137,3.7,78372
,Employee_122,Sales,261710,21,127,4.5,53821
,Employee_123,Finance,255160,15,170,3.2,57293
,Employee_124,Marketing,197075,7,157,2.9,107604
,Employee_125,Finance,135948,4,142,4.9,33660
,Employee_126,Finance,258913,23,152,4.7,54358
,Employee_127,IT,194780,15,143,4.7,80276
,Employee_128,Sales,299342,3,177,3.7,90602
,Employee_129,Finance,141716,11,163,2.6,81638
,Employee_130,Sales,157122,19,185,4.4,81136
,Employee_131,IT,256796,12,122,4.5,99604
,Employee_132,Marketing,117624,1,138,4.9,86561
,Employee_133,Finance,150811,7,156,2.6,86566
,Employee_134,Sales,166168,6,166,4.5,110587
,Employee_135,Finance,239766,11,201,3.3,98293
,Employee_136,Sales,245670,21,219,4.2,45298
,Employee_137,IT,253456,9,123,4.8,117074
,Employee_138,IT,176630,9,121,3.1,43483
,Employee_139,Finance,215383,22,203,5.0,115040
,Employee_140,Marketing,209443,23,157,2.6,40971
,Employee_141,Finance,249864,1,210,2.8,118380
,Employee_142,IT,108018,23,153,3.7,36879
,Employee_143,Finance,149991,7,200,4.3,109800
,Employee_144,Sales,239747,20,160,4.8,78080
,Employee_145,Finance,124383,5,126,4.6,80707
,Employee_146,Finance,141618,10,206,4.9,44915
,Employee_147,Sales,295283,11,136,3.6,41839
,Employee_148,Marketing,121935,21,163,3.5,102645
,Employee_149,IT,299574,24,144,4.0,51965
,Employee_150,Sales,269848,11,208,4.2,32034
,Employee_151,IT,114331,14,155,4.8,70932
,Employee_152,IT,204170,4,177,4.0,63714
,Employee_153,Finance,151221,2,124,4.8,70610
,Employee_154,Finance,186589,21,162,3.5,72588
,Employee_155,Marketing,214160,24,136,4.4,35887
,Employee_156,Marketing,277741,20,145,5.0,49487
,Employee_157,Marketing,284885,6,133,2.7,54278
,Employee_158,Finance,98922,4,202,4.3,62031
,Employee_159,Sales,119377,13,209,4.8,68123
,Employee_160,Marketing,233153,21,184,4.7,50051
,Employee_161,Sales,125356,22,170,4.7,102113
,Employee_162,Marketing,152156,13,141,3.2,55364
,Employee_163,Finance,208801,11,176,3.5,69431
,Employee_164,IT,118590,18,133,3.8,113418
,Employee_165,Marketing,298771,22,165,4.9,119777
,Employee_166,Finance,228455,7,132,3.2,67545
,Employee_167,IT,129990,14,134,4.2,64897
,Employee_168,Finance,159820,6,210,4.4,64727
,Employee_169,Sales,222592,20,165,2.9,61993
,Employee_170,Marketing,152577,21,160,4.7,85005
,Employee_171,Finance,216780,7,163,3.8,87559
,Employee_172,Finance,287609,15,202,4.9,89772
,Employee_173,Marketing,160401,6,168,4.7,100225
,Employee_174,Marketing,123845,4,209,4.9,89424
,Employee_175,Marketing,142868,1,148,3.0,54288
,Employee_176,IT,192678,9,142,4.6,37628
,Employee_177,Sales,202260,9,140,4.7,67084
,Employee_178,Finance,85282,21,123,4.9,82371
,Employee_179,Sales,221498,18,120,4.1,112475
,Employee_180,Marketing,115940,12,138,3.4,96233
,Employee_181,Marketing,218574,6,151,4.0,58644
,Employee_182,IT,274352,9,197,2.9,101601
,Employee_183,IT,122553,3,156,5.0,88980
,Employee_184,IT,253634,9,121,4.3,82968
,Employee_185,Finance,87484,11,160,3.3,107051
,Employee_186,Finance,202503,20,176,4.8,41751
,Employee_187,Sales,226746,22,121,4.3,74380
,Employee_188,Sales,128939,11,139,3.3,37536
,Employee_189,Sales,251945,8,215,4.8,96735
,Employee_190,IT,202704,23,196,3.3,59074
,Employee_191,Finance,171954,23,186,3.3,99570
,Employee_192,Finance,82672,8,167,2.6,113480
,Employee_193,IT,109625,21,142,4.3,107052
,Employee_194,Finance,236858,19,174,2.8,72535
,Employee_195,Finance,169530,10,196,2.6,85844
,Employee_196,Sales,237685,7,149,4.1,110592
,Employee_197,Sales,291429,3,164,4.9,40363
,Employee_198,Finance,222129,19,165,2.7,71370
,Employee_199,Sales,243165,11,186,4.4,56386
,Employee_200,Finance,214494,1,124,3.1,97960
,Employee_201,Finance,146038,4,183,4.7,118906
,Employee_202,Finance,96217,4,200,2.5,73661
,Employee_203,Marketing,214888,20,125,3.0,70799
,Employee_204,Sales,134209,7,210,4.9,93783
,Employee_205,IT,106605,15,180,3.9,52902
,Employee_206,Finance,206363,21,195,2.8,58546
,Employee_207,Marketing,214226,11,153,2.5,44945
,Employee_208,Finance,166721,8,169,3.5,110087
,Employee_209,Marketing,218520,6,193,3.6,75625
,Employee_210,Finance,298245,12,204,3.8,53913
,Employee_211,Sales,246811,20,179,4.2,85931
,Employee_212,Marketing,283223,3,120,2.9,30555
,Employee_213,Marketing,94927,20,174,3.3,62937
,Employee_214,Sales,113441,14,186,2.6,94904
,Employee_215,Finance,158872,22,148,5.0,116679
,Employee_216,Finance,209791,3,196,3.6,90894
,Employee_217,Sales,233013,24,197,4.2,41318
,Employee_218,Finance,233167,4,152,3.2,89121
,Employee_219,Finance,279426,9,148,2.9,94395
,Employee_220,Marketing,110039,20,205,3.0,91867
,Employee_221,Marketing,117727,14,188,2.5,42566
,Employee_222,IT,148771,6,120,4.2,82763
,Employee_223,IT,116901,22,146,5.0,65040
,Employee_224,Marketing,237501,2,183,2.7,40375
,Employee_225,Sales,170639,13,182,2.9,118540
,Employee_226,Finance,278243,15,150,4.5,90228
,Employee_227,IT,142418,24,210,4.1,105600
,Employee_228,Sales,155183,4,182,4.9,30593
,Employee_229,Finance,145758,4,153,3.4,67523
,Employee_230,IT,132567,2,145,3.6,46455
,Employee_231,Sales,264935,3,158,3.2,111599
,Employee_232,IT,260794,20,140,4.5,67879
,Employee_233,IT,145057,13,158,3.0,89665
,Employee_234,Sales,208696,10,182,3.4,64053
,Employee_235,Finance,273278,6,199,4.1,114031
,Employee_236,IT,184849,21,169,4.8,40706
,Employee_237,Marketing,278549,12,165,4.5,41685
,Employee_238,Sales,136353,18,138,2.7,68426
,Employee_239,Sales,129698,12,170,4.7,82552
,Employee_240,Finance,95984,5,208,4.5,86125
,Employee_241,Sales,218925,4,186,3.7,108096
,Employee_242,IT,83936,3,208,3.9,63971
,Employee_243,Finance,119160,1,171,3.6,115438
,Employee_244,Finance,207593,5,174,2.6,93764
,Employee_245,Marketing,176940,16,130,3.3,81614
,Employee_246,Sales,122044,12,190,4.8,50782
,Employee_247,Marketing,192786,17,210,4.0,96772
,Employee_248,Finance,294617,9,165,2.7,42944
,Employee_249,IT,296309,7,176,3.9,35178
,Employee_250,Sales,103644,20,200,4.0,97400
,Employee_251,IT,245703,21,154,4.5,51894
,Employee_252,Marketing,179459,12,203,4.0,90185
,Employee_253,Sales,182469,21,154,3.0,80566
